atc_code,atc_level1,role,n_substances,n_suppliers,n_ulcm_substances,n_countries,top_country,top_country_share,hhi_country,eu_eea_share
A06AX04,A,batch_release,1,1,0,1,IE,1.0,10000.0,1.0
A06AX04,A,mah_national,1,1,0,,,,,
A06AX05,A,batch_release,1,1,0,1,BE,1.0,10000.0,1.0
A06AX05,A,mah_national,1,3,0,,,,,
A07AA,A,mah_national,3,4,1,,,,,
A07AA02,A,mah_national,1,1,0,,,,,
A07AA09,A,mah_national,1,1,1,,,,,
A07AA11,A,mah_national,1,2,0,,,,,
A07AA12,A,batch_release,1,2,1,2,DE,0.5,5000.0,0.5
A07AA12,A,mah_national,1,1,1,,,,,
A07BA,A,mah_national,1,1,0,,,,,
A07BA01,A,mah_national,1,1,0,,,,,
A07CA,A,mah_national,4,1,1,,,,,
A07DA,A,mah_national,3,4,0,,,,,
A07DA02,A,mah_national,1,1,0,,,,,
A07DA03,A,mah_national,1,5,0,,,,,
A07DA53,A,mah_national,2,1,0,,,,,
A07EA,A,mah_national,1,4,0,,,,,
A07EA06,A,api_cep,1,20,0,7,IN,0.35,2200.0,0.45
A07EA06,A,batch_release,1,3,0,2,DE,0.6667,5555.6,1.0
A07EA06,A,mah_national,1,5,0,,,,,
A07EC,A,mah_national,3,9,0,,,,,
A07EC01,A,mah_national,1,2,0,,,,,
A07EC02,A,mah_national,1,8,0,,,,,
A07EC03,A,mah_national,1,1,0,,,,,
A07XA,A,mah_national,1,1,0,,,,,
A07XA04,A,mah_national,1,2,0,,,,,
A08AA,A,batch_release,2,2,0,2,ES,0.5,5000.0,1.0
A08AA,A,mah_national,5,3,0,,,,,
A08AA62,A,mah_national,2,1,0,,,,,
A08AB,A,mah_national,1,2,0,,,,,
A08AB01,A,batch_release,1,3,0,2,DE,0.6667,5555.6,1.0
A08AB01,A,mah_national,1,3,0,,,,,
A09AA,A,mah_national,1,3,0,,,,,
A09AA02,A,mah_national,1,4,0,,,,,
A09AB,A,mah_national,3,1,1,,,,,
A09AB04,A,mah_national,3,1,1,,,,,
A10,A,mah_national,2,1,1,,,,,
A10AB,A,mah_national,4,5,2,,,,,
A10AB01,A,batch_release,1,4,1,3,DK,0.5,3750.0,1.0
A10AB01,A,bio_api,1,2,1,2,DE,0.5,5000.0,1.0
A10AB01,A,mah_national,1,3,1,,,,,
A10AB04,A,batch_release,1,10,0,5,FR,0.6,4000.0,1.0
