,medicine_name,active_substance,atc_code,medicine_url,pdf_url,source_block,manufacturer_name,address,country,manufacturer_step
108,Pradaxa,dabigatran etexilate mesilate,B01AE07,https://www.ema.europa.eu/en/medicines/human/EPAR/pradaxa,https://www.ema.europa.eu/en/documents/product-information/pradaxa-epar-product-information_en.pdf,"A. MANUFACTURER(S) RESPONSIBLE FOR BATCH RELEASE
Name and address of the manufacturer(s) responsible for batch release of Pradaxa capsules:
Boehringer Ingelheim Pharma GmbH & Co. KG
Binger Strasse 173
55216 Ingelheim am Rhein
Germany
Boehringer Ingelheim France
100-104 avenue de France
75013 Paris
France
Name and address of the manufacturer(s) responsible for batch release of Pradaxa coated granules:
Boehringer Ingelheim Pharma GmbH & Co. KG
Binger Strasse 173
55216 Ingelheim am Rhein
Germany",Boehringer Ingelheim Pharma GmbH & Co. KG,"Binger Strasse 173
55216 Ingelheim am Rhein
Germany",Germany,2
109,Pradaxa,dabigatran etexilate mesilate,B01AE07,https://www.ema.europa.eu/en/medicines/human/EPAR/pradaxa,https://www.ema.europa.eu/en/documents/product-information/pradaxa-epar-product-information_en.pdf,"A. MANUFACTURER(S) RESPONSIBLE FOR BATCH RELEASE
Name and address of the manufacturer(s) responsible for batch release of Pradaxa capsules:
Boehringer Ingelheim Pharma GmbH & Co. KG
Binger Strasse 173
55216 Ingelheim am Rhein
Germany
Boehringer Ingelheim France
100-104 avenue de France
75013 Paris
France
Name and address of the manufacturer(s) responsible for batch release of Pradaxa coated granules:
Boehringer Ingelheim Pharma GmbH & Co. KG
Binger Strasse 173
55216 Ingelheim am Rhein
Germany",Boehringer Ingelheim France,"100-104 avenue de France
75013 Paris
France",France,2
110,Kirsty (previously Kixelle),insulin aspart,A10AB05,https://www.ema.europa.eu/en/medicines/human/EPAR/kirsty,https://www.ema.europa.eu/en/documents/product-information/kirsty-epar-product-information_en.pdf,"A. MANUFACTURER OF THE BIOLOGICAL ACTIVE SUBSTANCE AND
MANUFACTURER RESPONSIBLE FOR BATCH RELEASE
Name and address of the manufacturer of the biological active substance
Biocon Sdn. Bhd.
No. 1, Jalan Bioteknologi 1
Kawasan Perindusterian SiLC
79200 Iskandar Puteri,
Johor
Malaysia
Name and address of the manufacturer responsible for batch release
Kirsty vial, cartridge and pre-filled pen:
Biosimilar Collaborations Ireland Limited
Block B The Crescent Building
Santry Demesne
D09 C6X8
Dublin
Ireland",Biocon Sdn. Bhd,"Kawasan Perindusterian SiLC
79200 Iskandar Puteri,
Johor
Malaysia",,1
111,Kirsty (previously Kixelle),insulin aspart,A10AB05,https://www.ema.europa.eu/en/medicines/human/EPAR/kirsty,https://www.ema.europa.eu/en/documents/product-information/kirsty-epar-product-information_en.pdf,"A. MANUFACTURER OF THE BIOLOGICAL ACTIVE SUBSTANCE AND
MANUFACTURER RESPONSIBLE FOR BATCH RELEASE
Name and address of the manufacturer of the biological active substance
Biocon Sdn. Bhd.
No. 1, Jalan Bioteknologi 1
Kawasan Perindusterian SiLC
79200 Iskandar Puteri,
Johor
Malaysia
Name and address of the manufacturer responsible for batch release
Kirsty vial, cartridge and pre-filled pen:
Biosimilar Collaborations Ireland Limited
Block B The Crescent Building
Santry Demesne
D09 C6X8
Dublin
Ireland",Biosimilar Collaborations Ireland Limited,"Block B The Crescent Building
Santry Demesne
D09 C6X8
Dublin
Ireland",Ireland,2
112,Kirsty (previously Kixelle),insulin aspart,A10AB05,https://www.ema.europa.eu/en/medicines/human/EPAR/kirsty,https://www.ema.europa.eu/en/documents/product-information/kirsty-epar-product-information_en.pdf,"A. MANUFACTURER OF THE BIOLOGICAL ACTIVE SUBSTANCE AND
MANUFACTURER RESPONSIBLE FOR BATCH RELEASE
Name and address of the manufacturer of the biological active substance
Biocon Sdn. Bhd.
No. 1, Jalan Bioteknologi 1
Kawasan Perindusterian SiLC
79200 Iskandar Puteri,
Johor
Malaysia
Name and address of the manufacturer responsible for batch release
Kirsty vial, cartridge and pre-filled pen:
Biosimilar Collaborations Ireland Limited
Block B The Crescent Building
Santry Demesne
D09 C6X8
Dublin
Ireland",Ireland Limited,"The Crescent Building
Demesne
C6X8
Dublin
Ireland",Ireland,2
113,Lysodren,mitotane,L01XX23,https://www.ema.europa.eu/en/medicines/human/EPAR/lysodren,https://www.ema.europa.eu/en/documents/product-information/lysodren-epar-product-information_en.pdf,"A. MANUFACTURER(S) RESPONSIBLE FOR BATCH RELEASE
Name and address of the manufacturer responsible for batch release
Latina Pharma S.p.A.
Via Murillo, 7
04013 Sermoneta (LT)
Italy
or
Centre Spécialités Pharmaceutiques
76-78, avenue du Midi
63800 Cournon d’Auvergne
France",Latina Pharma S.p.A.,"Via Murillo, 7
04013 Sermoneta (LT)
Italy",Italy,2
114,Lysodren,mitotane,L01XX23,https://www.ema.europa.eu/en/medicines/human/EPAR/lysodren,https://www.ema.europa.eu/en/documents/product-information/lysodren-epar-product-information_en.pdf,"A. MANUFACTURER(S) RESPONSIBLE FOR BATCH RELEASE
Name and address of the manufacturer responsible for batch release
Latina Pharma S.p.A.
Via Murillo, 7
04013 Sermoneta (LT)
Italy
or
Centre Spécialités Pharmaceutiques
76-78, avenue du Midi
63800 Cournon d’Auvergne
France",Centre Spécialités Pharmaceutiques,"76-78, avenue du Midi
63800 Cournon d’Auvergne
France",France,2
115,Alkindi,hydrocortisone,H02AB09,https://www.ema.europa.eu/en/medicines/human/EPAR/alkindi,https://www.ema.europa.eu/en/documents/product-information/alkindi-epar-product-information_en.pdf,"A. MANUFACTURER(S) RESPONSIBLE FOR BATCH RELEASE
Name and address of the manufacturer(s) responsible for batch release
Delpharm Lille SAS
Parc d'Activités Roubaix-Est
22 rue de Toufflers CS 50070
Lys Lez Lannoy, 59 452
France
Skyepharma Production S.A.S.
Zone Industrielle Chesnes Ouest
55 Rue du Montmurier
Saint-Quentin-Fallavier, 38070
France.",Delpharm Lille SAS,"Parc d'Activités Roubaix-Est
22 rue de Toufflers CS 50070
Lys Lez Lannoy, 59 452
France",France,2
116,Alkindi,hydrocortisone,H02AB09,https://www.ema.europa.eu/en/medicines/human/EPAR/alkindi,https://www.ema.europa.eu/en/documents/product-information/alkindi-epar-product-information_en.pdf,"A. MANUFACTURER(S) RESPONSIBLE FOR BATCH RELEASE
Name and address of the manufacturer(s) responsible for batch release
Delpharm Lille SAS
Parc d'Activités Roubaix-Est
22 rue de Toufflers CS 50070
Lys Lez Lannoy, 59 452
France
Skyepharma Production S.A.S.
Zone Industrielle Chesnes Ouest
55 Rue du Montmurier
Saint-Quentin-Fallavier, 38070
France.",Skyepharma Production S.A.S.,"Zone Industrielle Chesnes Ouest
55 Rue du Montmurier
Saint-Quentin-Fallavier, 38070
France.",France,2
117,Cayston,aztreonam lysine,J01DF01,https://www.ema.europa.eu/en/medicines/human/EPAR/cayston,https://www.ema.europa.eu/en/documents/product-information/cayston-epar-product-information_en.pdf,"A. MANUFACTURER(S) RESPONSIBLE FOR BATCH RELEASE
Name and address of the manufacturer(s) responsible for batch release
Gilead Sciences Ireland UC
IDA Business & Technology Park
Carrigtohill
County Cork
Ireland",Gilead Sciences Ireland UC,"IDA Business & Technology Park
Carrigtohill
County Cork
Ireland",Ireland,2
