ATC level 5
A02BC05

A03BA01

A03FA01

A07AA12

A07BA01

A10AB01
A10AB05
A10AC01
A10AD01
A10AE06

A12CC02

A16AB02


B01AA03
B01AB01
B01AB02
B01AC04
B01AC16
B01AD02
B01AD11
B01AE07

B02AA02

B02BA01
B02BB01
B02BD01
B02BD02
B02BD03
B02BD04
B02BD05
B02BD07
B02BD08

B03BA03

B05AA01
B05AA02

B05BB01
B05BC01

B05XA01
B05XA05

B06AB01
B06AC01


C01AA05

C01BB01
C01BB02
C01BC04
C01BD01

C01CA02
C01CA03
C01CA04
C01CA07
C01CA24
C01CA26
C01CE02

C01DA02

C01EB10

C02AB01
C02AB02
C02AC01

C02DD01

C03CA01

C07AA05
C07AG01

C08CA06

C08DA01


G02AB01

G03XB01


H01BA01
H01BA02
H01BB02
H01BB03

H02AA02
H02AB04
H02AB06
H02AB09

H03BA02
H03BB01
H03BB02

H04AA01


J01AA02

J01CA01
J01CA04
J01CE01
J01CE02
J01CE08
J01CF02
J01CF05
J01CR02
J01CR05

J01DC02
J01DD01
J01DD02
J01DD04
J01DD08
J01DD52
J01DF01
J01DH56
J01DI54

J01EA01
J01EE01

J01FA01
J01FA09
J01FA10
J01FF01

J01GB01
J01GB03
J01GB06

J01MA02
J01MA12

J01XA01
J01XA02
J01XB01
J01XD01
J01XX01

J02AA01
J02AC01
J02AC04
J02AC05

J04AB02
J04AB04
J04AC01
J04AK01
J04AK02
J04AK05
J04AM02

J04BA02

J05AB01
J05AB06
J05AB14
J05AD01
J05AF01
J05AF05
J05AF06
J05AF09
J05AG01
J05AR02

J06BA01
J06BA02
J06BB01
J06BB02
J06BB04
J06BB05

J07AE01
J07AH07
J07AH09
J07AJ51
J07AJ52
J07AM51
J07AP03

J07BA02
J07BB01
J07BB02
J07BC01
J07BC02
J07BC20
J07BD52
J07BD54
J07BF03
J07BG01
J07BH02
J07BK01
J07BL01
J07BM01
J07BM02
J07BM03

J07CA01
J07CA02
J07CA06
J07CA12


L01AA01
L01AA02
L01AA03
L01AA06
L01AB01
L01AB02
L01AC01
L01AX04

L01BA01
L01BB02
L01BB03
L01BB05
L01BC01
L01BC02
L01BC05

L01CA01
L01CA02
L01CB01
L01CD01
L01CE01

L01DB01
L01DB02
L01DB03
L01DB06
L01DB07
L01DC01
L01DC03

L01EA03
L01EC02
L01EC03
L01EE01
L01EL01

L01FA03
L01FB01
L01FC01
L01FF01
L01FF02
L01FF03
L01FX02
L01FX05
L01FX17

L01XA01
L01XA02
L01XA03
L01XB01
L01XF01
L01XJ01
L01XX05
L01XX23
L01XX24

L02BA01

L03AB11
L03AX03
L03AX13
L03AX16

L04AA03
L04AA04
L04AC02
L04AC03
L04AD01
L04AD02
L04AH01
L04AX02
L04AX03


M01CC01

M03AB01
M03AC04
M03AC09
M03AC11

M03CA01


N01AH01
N01AH03
N01AH06
N01AX03
N01AX10
N01AX14

N02AA01

N02BE01

N03AA02
N03AB02
N03AD01
N03AE01
N03AF01
N03AG01
N03AG04

N04AA02

N05AD01
N05AH03
N05AN01

N05BA01
N05BA06

N05CD08
N05CM18

N06AX27

N06BC01

N07AA01

N07XX02


P01AB01

P01CX01

P02CA03


R03AC02

R03BB01

R03CA02
R03CC02

R05CB01
R05CB13


S01EB01
S01EB09
S01EC01

S01FA04

S01LA01

S02AA15

S03AA07


V03AB06
V03AB14
V03AB15
V03AB17
V03AB23
V03AB25
V03AB33
V03AB34
V03AB35
V03AB37
V03AC01
V03AE01
V03AF01
V03AF02
V03AF03
V03AF07

V04CF01

V09GA04
V09GB02

V10XX03
