product_id,product_name,licence_number,licence_holder,atc_code,matched_critical_atc,mfr_company,mfr_address,mfr_country,pdf_url
40462,Nilotinib Clonmel 50 mg hard capsules,PA0126/393/001,Clonmel Healthcare Ltd,L01EA03 nilotinib,L01EA03,PharOS Pharmaceutical Oriented Services Ltd | STADA Arzneimittel AG | STADA Arzneimittel GmbH | Clonmel Healthcare Ltd,"Lesvou Street End, Thesi Loggos Industrial Zone, Metamorfossi, 144 52 | Stradastrasse 2-18, 61118 Bad Vilbel | Muthgasse 36/2, 1190 Wien | Waterford Road, Clonmel, Co. Tipperary",Greece | Germany | Austria | Ireland,https://assets.hpra.ie/products/Human/40462/2c0506d0-bf43-4b55-af6c-ad82990e97eb.pdf
30007,FEIBA 50 U / ml powder and solvent for solution for infusion,PA2004/001/002,Baxalta Innovations GmbH,"B02BD Blood coagulation factors, B02BD03 factor VIII inhibitor bypassing activity",B02BD03,Takeda Manufacturing Austria AG,"Industriestrasse 67
1221 Vienna",Austria,https://assets.hpra.ie/products/Human/30007/43bd8004-e55e-4ffc-bd6f-367439a0d4cf.pdf
38925,Dabigatran Etexilate Krka 150 mg hard capsules,PA1347/110/003,"KRKA, d.d., Novo mesto",B01AE07 dabigatran etexilate,B01AE07,"KRKA, d.d.","Novo mesto, Šmarješka cesta 6, 8501 Novo mesto, ",Slovenia,https://assets.hpra.ie/products/Human/38925/8adafb81-6692-4867-a3c3-24aaab18302f.pdf
12773,Azactam 2 g Powder for Solution for Injection or Infusion,PA1418/021/002,Athlone Pharmaceuticals Limited,"J01DF Monobactams, J01DF01 aztreonam",J01DF01,"Galenicum Health, S.L.U","Sant Gabriel, 50, Esplugues de Llobregat, 08950 Barcelona",Spain,https://assets.hpra.ie/products/Human/12773/bf93d502-58d1-4ae1-9a45-37d03d816775.pdf
20137,Rolyprexa 10 mg film-coated tablets,PA0711/124/004,"Rowex Limited,","N05AH Diazepines, oxazepines, thiazepines and oxepines, N05AH03 olanzapine",N05AH03,Salutas Pharma GmbH | LEK S.A. | LEK S.A. | Lek Pharmaceuticals d.d.,"Otto-von-Guericke-Allee 1, 39179 Barleben | ul.Podlipie 16C, PL-95 010 Strykow | ul. Domaniewska 50 C, PL-02-672 Warszawa | Verovškova 57, SI-1526 Ljubljana",Germany | Poland | Poland | Slovenia,https://assets.hpra.ie/products/Human/20137/be90c817-2b53-49ab-988c-024547c2f7e6.pdf
38924,Dabigatran Etexilate Krka 110 mg hard capsules,PA1347/110/002,"KRKA, d.d., Novo mesto",B01AE07 dabigatran etexilate,B01AE07,"KRKA, d.d.","Novo mesto, Šmarješka cesta 6, 8501 Novo mesto",Slovenia,https://assets.hpra.ie/products/Human/38924/faecf3f0-36d7-46ca-9c23-49510efd2460.pdf
22738,Clarithromycin 500 mg Powder for Concentrate for Solution for Infusion,PA1142/022/001,Amdipharm Limited,"J01FA Macrolides, J01FA09 clarithromycin",J01FA09,"LABORATORIOS ALCALA FARMA, S.L.","Avenida de Madrid, 82, Alcalá de Henares, Madrid,
28802",Spain,https://assets.hpra.ie/products/Human/22738/8d214afc-f47c-4777-a6af-3db25ec050f0.pdf
38845,Dabigatran Etexilate Krka 75 mg hard capsules,PA1347/110/001,"KRKA, d.d., Novo mesto",B01AE07 dabigatran etexilate,B01AE07,"KRKA, d.d.","Novo mesto, Šmarješka cesta 6, 8501 Novo mesto",Slovenia,https://assets.hpra.ie/products/Human/38845/0d8d38a5-16dd-449f-b4bf-035ae74ed608.pdf
12772,Azactam 1 g Powder for Solution for Injection or Infusion,PA1418/021/001,Athlone Pharmaceuticals Limited,"J01DF Monobactams, J01DF01 aztreonam",J01DF01,"Galenicum Health, S.L.U","Sant Gabriel, 50, Esplugues de Llobregat, 08950 Barcelona,",Spain,https://assets.hpra.ie/products/Human/12772/229ba44f-0ef3-4e00-81cf-99814f472938.pdf
20134,Rolyprexa 2.5 mg film-coated tablets,PA0711/124/001,"Rowex Limited,","N05AH Diazepines, oxazepines, thiazepines and oxepines, N05AH03 olanzapine",N05AH03,Salutas Pharma GmbH | LEK S.A. | LEK S.A. | Lek Pharmaceuticals d.d.,"Otto-von-Guericke-Allee 1, 39179 Barleben | ul.Podlipie 16C, PL-95 010 Strykow | ul. Domaniewska 50 C, PL-02-672 Warszawa | Verovškova 57, SI-1526 Ljubljana",Germany | Poland | Poland | Slovenia,https://assets.hpra.ie/products/Human/20134/a8b422c7-5781-4b1b-b185-53ee069bb9af.pdf
