medicine_name;active_substance;atc_code;ema_url;pdf_url;source_block;manufacturer_name;address;country;manufacturer_step;latitude;longitude
VANTAVO (PREVIOUSLY ALENDRONATE SODIUM AND COLECALCIFEROL, MSD);alendronic acid / colecalciferol;M05BB03;https://www.ema.europa.eu/en/medicines/human/EPAR/vantavo;https://www.ema.europa.eu/en/documents/product-information/vantavo-epar-product-information_en.pdf;Organon Heist bv | Industriepark 30 | 2220 Heist-op-den-Berg | Belgium;Organon Heist bv;Organon Heist bv, Industriepark 30, 2220 Heist-op-den-Berg, Belgium;Belgium;batch_release;51.0759905;4.7286753
VANTAVO (PREVIOUSLY ALENDRONATE SODIUM AND COLECALCIFEROL, MSD);alendronic acid / colecalciferol;M05BB03;https://www.ema.europa.eu/en/medicines/human/EPAR/vantavo;https://www.ema.europa.eu/en/documents/product-information/vantavo-epar-product-information_en.pdf;Vianex S.A. | 15th Km Marathonos Avenue | Pallini 153 51, Greece;Vianex S.A;Vianex S.A., 15th Km Marathonos Avenue, Pallini 153 51, Greece;Greece;batch_release;38.0057615;23.8696043
PALFORZIA;defatted powder of Arachis hypogaea L. / semen (peanuts);V01;https://www.ema.europa.eu/en/medicines/human/EPAR/palforzia;https://www.ema.europa.eu/en/documents/product-information/palforzia-epar-product-information_en.pdf;Golden Peanut Company, LLC | (also known as Golden Peanut and Tree Nuts) | Specialty Products Division | 3886 Martin Luther King Jr. Boulevard | Blakely, Georgia 39823 | United States;Golden Peanut Company, LLC;Golden Peanut Company, LLC, (also known as Golden Peanut and Tree Nuts), Specialty Products Division, 3886 Martin Luther King Jr. Boulevard, Blakely, Georgia 39823, United States;United States;biological_active_substance;32.3293809;-83.1137366
PALFORZIA;defatted powder of Arachis hypogaea L. / semen (peanuts);V01;https://www.ema.europa.eu/en/medicines/human/EPAR/palforzia;https://www.ema.europa.eu/en/documents/product-information/palforzia-epar-product-information_en.pdf;Millmount Health Limited | Block 7, City North Business Campus | Stamullen | Co Meath | Ireland;Millmount Health Limited;Millmount Health Limited, Block 7, City North Business Campus, Stamullen, Co Meath, Ireland;Ireland;batch_release;53.6497514;-6.5884245
PALFORZIA;defatted powder of Arachis hypogaea L. / semen (peanuts);V01;https://www.ema.europa.eu/en/medicines/human/EPAR/palforzia;https://www.ema.europa.eu/en/documents/product-information/palforzia-epar-product-information_en.pdf;STALLERGENES | 6, rue Alexis de Tocqueville | 92160 ANTONY | France;STALLERGENES;STALLERGENES, 6, rue Alexis de Tocqueville, 92160 ANTONY, France;France;batch_release;48.7325515;2.3131995
INFANRIX HEXA;Diphtheria toxoid / tetanus toxoid / Bordetella pertussis antigens (pertussis toxoid / filamentous haemagglutinin / pertactin) / hepatitis B surface antigen / poliovirus (inactivated) (type-1 (Mahoney strain) / type-2 (MEF-1 strain) / type-3 (Saukett strain)) / Haemophilus influenzae type b polysaccharide;J07CA09;https://www.ema.europa.eu/en/medicines/human/EPAR/infanrix-hexa;https://www.ema.europa.eu/en/documents/product-information/infanrix-hexa-epar-product-information_en.pdf;GlaxoSmithKline Biologicals s.a. | Rue de l’Institut 89, | 1330 Rixensart | Belgium;GlaxoSmithKline Biologicals s.a;GlaxoSmithKline Biologicals s.a., Rue de l’Institut 89,, 1330 Rixensart, Belgium;Belgium;biological_active_substance;50.7122566;4.5216218
INFANRIX HEXA;Diphtheria toxoid / tetanus toxoid / Bordetella pertussis antigens (pertussis toxoid / filamentous haemagglutinin / pertactin) / hepatitis B surface antigen / poliovirus (inactivated) (type-1 (Mahoney strain) / type-2 (MEF-1 strain) / type-3 (Saukett strain)) / Haemophilus influenzae type b polysaccharide;J07CA09;https://www.ema.europa.eu/en/medicines/human/EPAR/infanrix-hexa;https://www.ema.europa.eu/en/documents/product-information/infanrix-hexa-epar-product-information_en.pdf;GlaxoSmithKline Biologicals s.a. | Parc de la Noire Epine 20, rue Fleming, | 1300 Wavre | Belgium;GlaxoSmithKline Biologicals s.a;GlaxoSmithKline Biologicals s.a., Parc de la Noire Epine 20, rue Fleming,, 1300 Wavre, Belgium;Belgium;biological_active_substance;50.7169694;4.610416
INFANRIX HEXA;Diphtheria toxoid / tetanus toxoid / Bordetella pertussis antigens (pertussis toxoid / filamentous haemagglutinin / pertactin) / hepatitis B surface antigen / poliovirus (inactivated) (type-1 (Mahoney strain) / type-2 (MEF-1 strain) / type-3 (Saukett strain)) / Haemophilus influenzae type b polysaccharide;J07CA09;https://www.ema.europa.eu/en/medicines/human/EPAR/infanrix-hexa;https://www.ema.europa.eu/en/documents/product-information/infanrix-hexa-epar-product-information_en.pdf;GlaxoSmithKline Biologicals s.a. | 10, Tuas South Avenue 8 | Singapore 637421;GlaxoSmithKline Biologicals s.a;GlaxoSmithKline Biologicals s.a., 10, Tuas South Avenue 8, Singapore 637421;Singapore;biological_active_substance;1.2973027;103.62898
INFANRIX HEXA;Diphtheria toxoid / tetanus toxoid / Bordetella pertussis antigens (pertussis toxoid / filamentous haemagglutinin / pertactin) / hepatitis B surface antigen / poliovirus (inactivated) (type-1 (Mahoney strain) / type-2 (MEF-1 strain) / type-3 (Saukett strain)) / Haemophilus influenzae type b polysaccharide;J07CA09;https://www.ema.europa.eu/en/medicines/human/EPAR/infanrix-hexa;https://www.ema.europa.eu/en/documents/product-information/infanrix-hexa-epar-product-information_en.pdf;GlaxoSmithKline Biologicals Kft | Homoki Nagy István utca 1. | H-2100 Gödöllö | Hungary;GlaxoSmithKline Biologicals Kft;GlaxoSmithKline Biologicals Kft, Homoki Nagy István utca 1., H-2100 Gödöllö, Hungary;Hungary;biological_active_substance;47.601529;19.3476981
INFANRIX HEXA;Diphtheria toxoid / tetanus toxoid / Bordetella pertussis antigens (pertussis toxoid / filamentous haemagglutinin / pertactin) / hepatitis B surface antigen / poliovirus (inactivated) (type-1 (Mahoney strain) / type-2 (MEF-1 strain) / type-3 (Saukett strain)) / Haemophilus influenzae type b polysaccharide;J07CA09;https://www.ema.europa.eu/en/medicines/human/EPAR/infanrix-hexa;https://www.ema.europa.eu/en/documents/product-information/infanrix-hexa-epar-product-information_en.pdf;GlaxoSmithKline Biologicals s.a. | Rue de l’Institut 89, | 1330 Rixensart | Belgium;GlaxoSmithKline Biologicals s.a;GlaxoSmithKline Biologicals s.a., Rue de l’Institut 89,, 1330 Rixensart, Belgium;Belgium;batch_release;50.7122566;4.5216218
RETSEVMO;selpercatinib;L01EX22;https://www.ema.europa.eu/en/medicines/human/EPAR/retsevmo;https://www.ema.europa.eu/en/documents/product-information/retsevmo-epar-product-information_en.pdf;Lilly, S.A. | Avda. de la Industria, 30 | 28108 Alcobendas, Madrid | Spain;Lilly, S.A;Lilly, S.A., Avda. de la Industria, 30, 28108 Alcobendas, Madrid, Spain;Spain;batch_release;40.416782;-3.703507
ADROVANCE;colecalciferol / alendronic acid (as sodium trihydrate);M05BB03;https://www.ema.europa.eu/en/medicines/human/EPAR/adrovance;https://www.ema.europa.eu/en/documents/product-information/adrovance-epar-product-information_en.pdf;Merck Sharp & Dohme BV | Waarderweg 39 | 2031 BN, Haarlem | The Netherlands;Merck Sharp & Dohme BV;Merck Sharp & Dohme BV, Waarderweg 39, 2031 BN, Haarlem, The Netherlands;Netherlands;batch_release;52.3885317;4.6388048
ADROVANCE;colecalciferol / alendronic acid (as sodium trihydrate);M05BB03;https://www.ema.europa.eu/en/medicines/human/EPAR/adrovance;https://www.ema.europa.eu/en/documents/product-information/adrovance-epar-product-information_en.pdf;Organon Heist bv | Industriepark 30 | 2220 Heist-op-den-Berg | Belgium;Organon Heist bv;Organon Heist bv, Industriepark 30, 2220 Heist-op-den-Berg, Belgium;Belgium;batch_release;51.0759905;4.7286753
ADROVANCE;colecalciferol / alendronic acid (as sodium trihydrate);M05BB03;https://www.ema.europa.eu/en/medicines/human/EPAR/adrovance;https://www.ema.europa.eu/en/documents/product-information/adrovance-epar-product-information_en.pdf;Vianex S.A. | 15th Km Marathonos Avenue | Pallini 153 51, Greece;Vianex S.A;Vianex S.A., 15th Km Marathonos Avenue, Pallini 153 51, Greece;Greece;batch_release;38.0057615;23.8696043
JENTADUETO;linagliptin / metformin;A10BD11;https://www.ema.europa.eu/en/medicines/human/EPAR/jentadueto;https://www.ema.europa.eu/en/documents/product-information/jentadueto-epar-product-information_en.pdf;Boehringer Ingelheim Hellas Single Member S.A. | 5th km Paiania – Markopoulo | Koropi Attiki, 19441 | Greece;Boehringer Ingelheim Hellas Single Member S.A;Boehringer Ingelheim Hellas Single Member S.A., 5th km Paiania – Markopoulo, Koropi Attiki, 19441, Greece;Greece;batch_release;38.9953683;21.9877132
JENTADUETO;linagliptin / metformin;A10BD11;https://www.ema.europa.eu/en/medicines/human/EPAR/jentadueto;https://www.ema.europa.eu/en/documents/product-information/jentadueto-epar-product-information_en.pdf;Dragenopharm Apotheker Püschl GmbH | Göllstraße 1 | 84529 Tittmoning | Germany;Dragenopharm Apotheker Püschl GmbH;Dragenopharm Apotheker Püschl GmbH, Göllstraße 1, 84529 Tittmoning, Germany;Germany;batch_release;48.0621714;12.7676484
TRAJENTA;linagliptin;A10BH05;https://www.ema.europa.eu/en/medicines/human/EPAR/trajenta;https://www.ema.europa.eu/en/documents/product-information/trajenta-epar-product-information_en.pdf;Boehringer Ingelheim Pharma GmbH & Co. KG | Binger Strasse 173 | 55216 Ingelheim am Rhein | Germany;Boehringer Ingelheim Pharma GmbH & Co. KG;Boehringer Ingelheim Pharma GmbH & Co. KG, Binger Strasse 173, 55216 Ingelheim am Rhein, Germany;Germany;batch_release;49.9752749;8.0547274
