atc_code,mfr_company,mfr_country,manufacturer_step,source,level1_code,level1_name
L01FC01,"Samsung Biologics Co, Ltd.",Republic of Korea,1,ema,L,Antineoplastic & immunomodulating
L01FC01,Janssen Biologics B.V.,The Netherlands,2,ema,L,Antineoplastic & immunomodulating
L01FC01,Janssen Pharmaceutica NV,Belgium,2,ema,L,Antineoplastic & immunomodulating
B02BD02,Baxalta Manufacturing Sàrl,Switzerland,1,ema,B,Blood & blood forming organs
B02BD02,Takeda Manufacturing Singapore Pte. Ltd.,Singapore,1,ema,B,Blood & blood forming organs
B02BD02,Baxalta Belgium Manufacturing SA,Belgium,2,ema,B,Blood & blood forming organs
B01AE07,NA,Poland,2,ema,B,Blood & blood forming organs
B01AE07,Pharmadox Healthcare Limited,Malta,2,ema,B,Blood & blood forming organs
B01AE07,Accord Healthcare B.V.,Netherlands,2,ema,B,Blood & blood forming organs
J02AC04,"Organon Heist bv, Industriepark 30, 2220 Heist-op-den-Berg, Belgium",Netherlands,2,ema,J,Antiinfectives (systemic)
J02AC04,"Schering-Plough S.A., 2, rue Louis Pasteur; 14200 Hérouville St Clair, France",Belgium,2,ema,J,Antiinfectives (systemic)
L01FF02,AstraZeneca Pharmaceuticals LP,United States,1,ema,L,Antineoplastic & immunomodulating
L01FF02,Boehringer Ingelheim (BIB),Germany,1,ema,L,Antineoplastic & immunomodulating
L01FF02,MSD Biotech B.V.,Netherlands,1,ema,L,Antineoplastic & immunomodulating
L01FF02,"Boehringer Ingelheim Fremont, Inc. (BIF)",United States,1,ema,L,Antineoplastic & immunomodulating
L01FF02,MSD International GmbH (DUB),Ireland,1,ema,L,Antineoplastic & immunomodulating
L01FF02,"Samsung Biologics Co., Ltd (SBL)",South Korea,1,ema,L,Antineoplastic & immunomodulating
L01FF02,Organon Heist bv,Belgium,2,ema,L,Antineoplastic & immunomodulating
L01FF02,Merck Sharp & Dohme B.V.,Netherlands,2,ema,L,Antineoplastic & immunomodulating
L01DB01,"Accord Healthcare Polska Sp. z o.o.,",Poland,2,ema,L,Antineoplastic & immunomodulating
L01DB01,"Accord Healthcare Single Member S.A.,",Greece,2,ema,L,Antineoplastic & immunomodulating
J07BB02,Unigen Inc.,Japan,1,ema,J,Antiinfectives (systemic)
J07BB02,Sanofi Winthrop Industrie,France,2,ema,J,Antiinfectives (systemic)
J05AG01,Boehringer Ingelheim Pharma GmbH & Co. KG,Germany,2,ema,J,Antiinfectives (systemic)
J05AG01,Boehringer Ingelheim Hellas Single Member S.A.,Greece,2,ema,J,Antiinfectives (systemic)
J05AG01,Boehringer Ingelheim France,France,2,ema,J,Antiinfectives (systemic)
