"atc_code","n_countries","n_sites_total","hhi","effective_countries","source"
"J05AF05",2,12,7222.22222222222,1.38461538461538,"CEP"
"J05AG01",2,6,5555.55555555556,1.8,"CEP"
"L01AA02",1,1,10000,1,"CEP"
"L01AA03",2,2,5000,2,"CEP"
"L01AA06",2,2,5000,2,"CEP"
"L01AB01",4,7,3877.55102040816,2.57894736842105,"CEP"
"L01AX04",4,5,2800,3.57142857142857,"CEP"
"L01BA01",6,8,1875,5.33333333333333,"CEP"
"L01BC01",5,6,2222.22222222222,4.5,"CEP"
"L01BC02",3,4,3750,2.66666666666667,"CEP"
"L01CB01",5,8,2500,4,"CEP"
"L01CD01",9,22,1652.89256198347,6.05,"CEP"
"L01DC03",3,5,4400,2.27272727272727,"CEP"
"L01XA01",6,15,2355.55555555556,4.24528301886792,"CEP"
"L01XA02",7,18,2222.22222222222,4.5,"CEP"
"L01XA03",8,25,2128,4.69924812030075,"CEP"
"L01XX05",3,4,3750,2.66666666666667,"CEP"
"L04AD01",8,11,1900.82644628099,5.26086956521739,"CEP"
"L04AX03",6,8,1875,5.33333333333333,"CEP"
"M01CC01",1,3,10000,1,"CEP"
"N01AH01",10,14,1428.57142857143,7,"CEP"
"N01AH03",2,3,5555.55555555556,1.8,"CEP"
"N01AX10",6,13,2307.69230769231,4.33333333333333,"CEP"
"N02BE01",8,20,2150,4.65116279069767,"CEP"
"N03AA02",4,6,2777.77777777778,3.6,"CEP"
"N03AB02",2,2,5000,2,"CEP"
"N03AD01",1,1,10000,1,"CEP"
"N03AE01",2,4,6250,1.6,"CEP"
"N03AF01",8,19,2022.16066481994,4.94520547945206,"CEP"
"N03AG01",6,9,2592.59259259259,3.85714285714286,"CEP"
"N03AG04",1,4,10000,1,"CEP"
"N05AD01",4,7,3877.55102040816,2.57894736842105,"CEP"
"N05AH03",5,23,5652.17391304348,1.76923076923077,"CEP"
"N05BA01",3,6,5000,2,"CEP"
"N05BA06",3,6,3888.88888888889,2.57142857142857,"CEP"
"N05CD08",5,8,2500,4,"CEP"
"N06BC01",3,9,5061.72839506173,1.97560975609756,"CEP"
"P01AB01",3,8,4062.5,2.46153846153846,"CEP"
"P02CA03",3,8,4687.5,2.13333333333333,"CEP"
"S01EC01",2,4,6250,1.6,"CEP"
"S02AA15",5,8,3125,3.2,"CEP"
"S03AA07",5,8,3125,3.2,"CEP"
"V03AB23",9,14,1326.5306122449,7.53846153846154,"CEP"
"V03AB25",4,4,2500,4,"CEP"
