substance_raw,norm_key,is_combination,atc_codes,atc_level1,atc_origin,supplier_name,supplier_norm,supplier_id,country_iso2,source,role,status,cep_type,norm_trace
Single-stranded 5' capped mRNA encoding the Respiratory syncytial virus glycoprotein F stabilized in the prefusion conformation,single stranded 5 capped mrna encoding the respiratory syncytial virus glycoprotein f stabilized in the prefusion conformation,False,J07BN01,J,native,BioNTech Manufacturing GmbH,biontech manufacturing,EU/1/20/1528/048-049,,hpra,mah_national,authorised,,
Single-stranded 5' capped mRNA encoding the Respiratory syncytial virus glycoprotein F stabilized in the prefusion conformation,single stranded 5 capped mrna encoding the respiratory syncytial virus glycoprotein f stabilized in the prefusion conformation,False,J07BN01,J,native,BioNTech Manufacturing GmbH,biontech manufacturing,EU/1/20/1528/045-046,,hpra,mah_national,authorised,,
Single-stranded 5' capped mRNA encoding the Respiratory syncytial virus glycoprotein F stabilized in the prefusion conformation,single stranded 5 capped mrna encoding the respiratory syncytial virus glycoprotein f stabilized in the prefusion conformation,False,J07BN01,J,native,BioNTech Manufacturing GmbH,biontech manufacturing,EU/1/20/1528/051,,hpra,mah_national,authorised,,
Single-stranded 5' capped mRNA encoding the Respiratory syncytial virus glycoprotein F stabilized in the prefusion conformation,single stranded 5 capped mrna encoding the respiratory syncytial virus glycoprotein f stabilized in the prefusion conformation,False,J07BN01,J,native,BioNTech Manufacturing GmbH,biontech manufacturing,EU/1/20/1528/047,,hpra,mah_national,authorised,,
Tozinameran,tozinameran,False,J07BN01,J,native,BioNTech Manufacturing GmbH,biontech manufacturing,EU/1/20/1528/024,,hpra,mah_national,authorised,,
Tozinameran,tozinameran,False,J07BN01,J,native,BioNTech Manufacturing GmbH,biontech manufacturing,EU/1/20/1528/021,,hpra,mah_national,authorised,,
Tozinameran,tozinameran,False,J07BN01,J,native,BioNTech Manufacturing GmbH,biontech manufacturing,EU/1/20/1528/022,,hpra,mah_national,authorised,,
Tozinameran,tozinameran,False,J07BN01,J,native,BioNTech Manufacturing GmbH,biontech manufacturing,EU/1/20/1528/023,,hpra,mah_national,authorised,,
Raxtozinameran,raxtozinameran,False,J07BN01,J,native,BioNTech Manufacturing GmbH,biontech manufacturing,EU/1/20/1528/026,,hpra,mah_national,authorised,,
Tozinameran,tozinameran,False,J07BN01,J,native,BioNTech Manufacturing GmbH,biontech manufacturing,EU/1/20/1528/018,,hpra,mah_national,authorised,,
Tozinameran,tozinameran,False,J07BN01,J,native,BioNTech Manufacturing GmbH,biontech manufacturing,EU/1/20/1528/019,,hpra,mah_national,authorised,,
Tozinameran,tozinameran,False,J07BN01,J,native,BioNTech Manufacturing GmbH,biontech manufacturing,EU/1/20/1528/020,,hpra,mah_national,authorised,,
Single-stranded 5' capped mRNA encoding the Respiratory syncytial virus glycoprotein F stabilized in the prefusion conformation,single stranded 5 capped mrna encoding the respiratory syncytial virus glycoprotein f stabilized in the prefusion conformation,False,J07BN01,J,native,BioNTech Manufacturing GmbH,biontech manufacturing,EU/1/20/1528/052-055,,hpra,mah_national,authorised,,
Pioglitazone,pioglitazone,False,A10BD05,A,native,CHEPLAPHARM Arzneimittel GmbH,cheplapharm arzneimittel,EU/1/06/354/005-010,,hpra,mah_national,authorised,,
Metformin Hydrochloride,metformin,False,A10BD05,A,native,CHEPLAPHARM Arzneimittel GmbH,cheplapharm arzneimittel,EU/1/06/354/005-010,,hpra,mah_national,authorised,,stripped trailing 'hydrochloride'
