substance_raw,norm_key,is_combination,atc_codes,atc_level1,atc_origin,supplier_name,supplier_norm,supplier_id,country_iso2,source,role,status,cep_type,norm_trace
"Meat Peptone S1, Ref. 19018",meat peptone s1|ref 19018,True,,,,Organotechnie SAS La Courneuve FR,organotechnie sas la courneuve fr,R1-CEP 2001-116 - Rev 01,FR,edqm_cep,api_cep,Valid,Chemical,combination of 2
"P Multocida Medium, Product code: 210313",p multocida medium|product code 210313,True,,,,"Becton, Dickinson and Company Sparks US",becton dickinson and company sparks us,R1-CEP 2001-170 - Rev 00,US,edqm_cep,api_cep,Withdrawn by Holder,Chemical,combination of 2
Theobromine - Text Deleted 1/07/2021,theobromine text deleted 1 07 2021,False,,,,"CSPC INNOVATION PHARMACEUTICAL CO., LTD. Shijiazhuang City CN",cspc innovation shijiazhuang city cn,R0-CEP 2010-168 - Rev 00,CN,edqm_cep,api_cep,Withdrawn by EDQM Failure to CEP procedure,Chemical,chemical notation detected - not split
Theobromine - Text Deleted 1/07/2021,theobromine text deleted 1 07 2021,False,,,,"CSPC INNOVATION PHARMACEUTICAL CO., LTD. Shijiazhuang City CN",cspc innovation shijiazhuang city cn,R0-CEP 2014-228 - Rev 00,CN,edqm_cep,api_cep,Expired,Chemical,chemical notation detected - not split
Boric Acid,boric acid,False,,,,Merck KGaA Darmstadt DE,merck kgaa darmstadt de,R1-CEP 2014-171 - Rev 00,DE,edqm_cep,api_cep,Valid,Chemical,
"Boric Acid, Granular and powder",boric acid,False,,,,BORAX FRANCAIS Coudekerque-Branche FR,borax francais coudekerque branche fr,R1-CEP 2008-310 - Rev 03,FR,edqm_cep,api_cep,Valid,Chemical,dropped non-substance component 'granular'; dropped non-substance component 'powder'
"Phosphoric acid, concentrated",concentrated|phosphoric acid,True,,,,ICL ADVANCED ADDITIVES St Louis US,icl advanced additives st louis us,R0-CEP 2014-299 - Rev 01,US,edqm_cep,api_cep,Expired,Chemical,combination of 2
Ammonium chloride,ammonium chloride,False,,,,QUALITY CHEMICALS S.L. Esparreguera ES,quality chemicals s l esparreguera es,R0-CEP 2021-326 - Rev 00,ES,edqm_cep,api_cep,Valid,Chemical,salt-strip skipped (electrolyte): ammonium chloride
Barium sulfate,barium sulfate,False,,,,VENATOR GERMANY GMBH Duisburg DE,venator germany duisburg de,R1-CEP 2006-257 - Rev 04,DE,edqm_cep,api_cep,Valid,Chemical,salt-strip skipped (electrolyte): barium sulfate
Benzocaine,benzocaine,False,,,,RAMDEV CHEMICAL PVT. LTD. Boisar IN,ramdev chemical boisar in,R0-CEP 2016-081 - Rev 00,IN,edqm_cep,api_cep,Expired,Chemical,
Benzocaine,benzocaine,False,,,,REINE LIFESCIENCE Ankleshwar IN,reine lifescience ankleshwar in,R0-CEP 2020-056 - Rev 00,IN,edqm_cep,api_cep,Valid,Chemical,
Benzocaine,benzocaine,False,,,,PHARMATEC Q LIMITED Swords IE,pharmatec q swords ie,CEP 2018-286 - Rev 02,IE,edqm_cep,api_cep,Withdrawn by Holder,Chemical,
Benzocaine,benzocaine,False,,,,APEX HEALTHCARE LIMITED Ankleshwar IN,apex healthcare ankleshwar in,CEP 2022-102 - Rev 01,IN,edqm_cep,api_cep,Valid,Chemical,
"Benzocaine, Standard and micronised",benzocaine|standard,True,,,,"ZHEJIANG BAMBOO PHARMACEUTICALS CO.,LTD. Shaoxing CN",zhejiang bamboo shaoxing cn,CEP 2022-395 - Rev 01,CN,edqm_cep,api_cep,Valid,Chemical,dropped non-substance component 'micronised'; combination of 2
"Benzocaine, Standard and micronised",benzocaine|standard,True,,,,"CHANGZHOU SUNLIGHT PHARMACEUTICAL CO., LTD. Benniu Town CN",changzhou sunlight benniu town cn,CEP 2004-008 - Rev 07,CN,edqm_cep,api_cep,Valid,Chemical,dropped non-substance component 'micronised'; combination of 2
"Borax, Granular and powder",borax,False,,,,BORAX FRANCAIS Coudekerque-Branche FR,borax francais coudekerque branche fr,R1-CEP 2009-207 - Rev 05,FR,edqm_cep,api_cep,Valid,Chemical,dropped non-substance component 'granular'; dropped non-substance component 'powder'
Calcium carbonate,calcium carbonate,False,,,,Specialty Minerals Lifford Birmingham GB,specialty minerals lifford birmingham gb,R1-CEP 1996-025 - Rev 02,GB,edqm_cep,api_cep,Valid,Chemical,salt-strip skipped (electrolyte): calcium carbonate
Calcium carbonate,calcium carbonate,False,,,,Società Generale per l'Industria della Magnesia S.p.A. Angera (Va) IT,societ generale per l industria della magnesia angera va it,R1-CEP 2003-242 - Rev 00,IT,edqm_cep,api_cep,Valid,Chemical,salt-strip skipped (electrolyte): calcium carbonate
Calcium carbonate,calcium carbonate,False,,,,IMERYS CARBONATES AUSTRIA GMBH Ebensee AT,imerys carbonates austria ebensee at,R1-CEP 2003-019 - Rev 03,AT,edqm_cep,api_cep,Valid,Chemical,salt-strip skipped (electrolyte): calcium carbonate
Calcium carbonate,calcium carbonate,False,,,,Merck KGaA Darmstadt DE,merck kgaa darmstadt de,R1-CEP 2003-228 - Rev 01,DE,edqm_cep,api_cep,Withdrawn by Holder,Chemical,salt-strip skipped (electrolyte): calcium carbonate
Calcium carbonate,calcium carbonate,False,,,,ALLEGRANZI MIKRONEVE S.A.S. DI ALLEGRANZI S.R.L. Cordignano IT,allegranzi mikroneve s di allegranzi s r l cordignano it,R1-CEP 2009-360 - Rev 02,IT,edqm_cep,api_cep,Valid,Chemical,salt-strip skipped (electrolyte): calcium carbonate
Calcium carbonate,calcium carbonate,False,,,,"J.M. HUBER MICROPOWDERS, INC. Atlanta US",j m huber micropowders atlanta us,R1-CEP 2004-091 - Rev 02,US,edqm_cep,api_cep,Valid,Chemical,salt-strip skipped (electrolyte): calcium carbonate
Calcium carbonate,calcium carbonate,False,,,,"Shanghai NuoCheng Pharmaceutical Co., Ltd. Shanghai CN",shanghai nuocheng shanghai cn,R1-CEP 2007-132 - Rev 01,CN,edqm_cep,api_cep,Valid,Chemical,salt-strip skipped (electrolyte): calcium carbonate
Calcium carbonate,calcium carbonate,False,,,,IMERYS CARBONATES USA INC. Roswell US,imerys carbonates usa roswell us,CEP 2018-214 - Rev 01,US,edqm_cep,api_cep,Valid,Chemical,salt-strip skipped (electrolyte): calcium carbonate
Calcium carbonate,calcium carbonate,False,,,,SUDEEP PHARMA LIMITED Vadodara IN,sudeep vadodara in,CEP 2013-299 - Rev 03,IN,edqm_cep,api_cep,Valid,Chemical,salt-strip skipped (electrolyte): calcium carbonate
Calcium carbonate,calcium carbonate,False,,,,SCORA Caffiers FR,scora caffiers fr,CEP 1997-065 - Rev 05,FR,edqm_cep,api_cep,Valid,Chemical,salt-strip skipped (electrolyte): calcium carbonate
"Calcium carbonate, Granular",calcium carbonate,False,,,,SUDEEP PHARMA LIMITED Vadodara IN,sudeep vadodara in,CEP 2020-379 - Rev 03,IN,edqm_cep,api_cep,Valid,Chemical,salt-strip skipped (electrolyte): calcium carbonate; dropped non-substance component 'granular'
"Calcium carbonate, Granular Grade II",calcium carbonate|granular grade ii,True,,,,SUDEEP PHARMA LIMITED Vadodara IN,sudeep vadodara in,CEP 2025-377 - Rev 00,IN,edqm_cep,api_cep,Valid,Chemical,salt-strip skipped (electrolyte): calcium carbonate; combination of 2
"Calcium carbonate, Micronised 18",calcium carbonate|micronised 18,True,,,,MINERARIA SACILESE S.P.A. Sacile IT,mineraria sacilese sacile it,CEP 2024-306 - Rev 00,IT,edqm_cep,api_cep,Valid,Chemical,salt-strip skipped (electrolyte): calcium carbonate; combination of 2
"Calcium carbonate, Micronised 30",calcium carbonate|micronised 30,True,,,,MINERARIA SACILESE S.P.A. Sacile IT,mineraria sacilese sacile it,CEP 2016-258 - Rev 01,IT,edqm_cep,api_cep,Valid,Chemical,salt-strip skipped (electrolyte): calcium carbonate; combination of 2
"Calcium carbonate, Sieved grade I (35)",calcium carbonate|sieved grade i,True,,,,OMYA SAS Omey FR,omya sas omey fr,CEP 2001-366 - Rev 05,FR,edqm_cep,api_cep,Valid,Chemical,salt-strip skipped (electrolyte): calcium carbonate; combination of 2
Calcium chloride dihydrate,calcium chloride,False,,,,"MACCO ORGANIQUES, S.R.O. Bruntál CZ",macco organiques s r o brunt l cz,R1-CEP 2006-263 - Rev 01,CZ,edqm_cep,api_cep,Valid,Chemical,stripped trailing 'dihydrate'
Calcium chloride dihydrate,calcium chloride,False,,,,CFL CHEMISCHE FABRIK LEHRTE GMBH & CO. KG Lehrte DE,cfl chemische fabrik lehrte kg lehrte de,CEP 2015-352 - Rev 02,DE,edqm_cep,api_cep,Valid,Chemical,stripped trailing 'dihydrate'
Calcium chloride dihydrate,calcium chloride,False,,,,Merck KGaA Darmstadt DE,merck kgaa darmstadt de,CEP 2007-356 - Rev 02,DE,edqm_cep,api_cep,Valid,Chemical,stripped trailing 'dihydrate'
Quinidine sulfate,quinidine,False,,,,BUCHLER GMBH Braunschweig DE,buchler braunschweig de,R1-CEP 2011-215 - Rev 02,DE,edqm_cep,api_cep,Valid,Chemical,stripped trailing 'sulfate'
Quinine hydrochloride dihydrate,quinine,False,,,,Vital Health Care Pvt Ltd Mumbai IN,vital health care mumbai in,R0-CEP 2005-114 - Rev 01,IN,edqm_cep,api_cep,Withdrawn by EDQM Failure to CEP procedure,Chemical,stripped trailing 'dihydrate'; stripped trailing 'hydrochloride'
Quinine hydrochloride dihydrate,quinine,False,,,,Arnold Suhr Qimpex Pte. Ltd. Singapore SG,arnold suhr qimpex pte singapore sg,R1-CEP 2003-164 - Rev 01,SG,edqm_cep,api_cep,Withdrawn by Holder,Chemical,stripped trailing 'dihydrate'; stripped trailing 'hydrochloride'
Quinine hydrochloride dihydrate,quinine,False,,,,AANJANEYA LIFECARE LIMITED Mumbai IN,aanjaneya lifecare mumbai in,R0-CEP 2010-069 - Rev 00,IN,edqm_cep,api_cep,Withdrawn by EDQM Failure to CEP procedure,Chemical,stripped trailing 'dihydrate'; stripped trailing 'hydrochloride'
"Quinine hydrochloride dihydrate, PT.SIL",pt sil|quinine,True,,,,PT. SINKONA INDONESIA LESTARI Subang ID,pt sinkona indonesia lestari subang id,CEP 2015-202 - Rev 01,ID,edqm_cep,api_cep,Valid,Chemical,stripped trailing 'dihydrate'; stripped trailing 'hydrochloride'; combination of 2
Quinine sulfate,quinine,False,,,,Vital Health Care Pvt Ltd Mumbai IN,vital health care mumbai in,R0-CEP 2005-117 - Rev 01,IN,edqm_cep,api_cep,Withdrawn by EDQM Failure to CEP procedure,Chemical,stripped trailing 'sulfate'
Quinine sulfate,quinine,False,,,,Arnold Suhr Qimpex Pte. Ltd. Singapore SG,arnold suhr qimpex pte singapore sg,R1-CEP 2003-168 - Rev 01,SG,edqm_cep,api_cep,Withdrawn by Holder,Chemical,stripped trailing 'sulfate'
Quinine sulfate,quinine,False,,,,AANJANEYA LIFECARE LIMITED Mumbai IN,aanjaneya lifecare mumbai in,R0-CEP 2009-387 - Rev 00,IN,edqm_cep,api_cep,Withdrawn by EDQM Failure to CEP procedure,Chemical,stripped trailing 'sulfate'
Quinine sulfate,quinine,False,,,,PT. SINKONA INDONESIA LESTARI Subang ID,pt sinkona indonesia lestari subang id,CEP 2024-412 - Rev 00,ID,edqm_cep,api_cep,Valid,Chemical,stripped trailing 'sulfate'
"Quinine sulfate, PT.SIL",pt sil|quinine,True,,,,ARNOLD SUHR NETHERLANDS BV Hilversum NL,arnold suhr netherlands hilversum nl,R1-CEP 2014-170 - Rev 00,NL,edqm_cep,api_cep,Valid,Chemical,stripped trailing 'sulfate'; combination of 2
Dextromethorphan hydrobromide monohydrate,dextromethorphan,False,,,,DSM Nutritional Products Ltd. Kaiseraugst CH,dsm nutritional products kaiseraugst ch,R2-CEP 1995-041 - Rev 02,CH,edqm_cep,api_cep,Withdrawn by Holder,Chemical,stripped trailing 'monohydrate'; stripped trailing 'hydrobromide'
Dextromethorphan hydrobromide monohydrate,dextromethorphan,False,,,,"ZHEJIANG APELOA KANGYU PHARMACEUTICAL CO., LTD. Hengdian CN",zhejiang apeloa kangyu hengdian cn,R0-CEP 2014-094 - Rev 01,CN,edqm_cep,api_cep,Withdrawn by Holder,Chemical,stripped trailing 'monohydrate'; stripped trailing 'hydrobromide'
Dextromethorphan hydrobromide monohydrate,dextromethorphan,False,,,,Wockhardt Limited Mumbai IN,wockhardt mumbai in,R1-CEP 1998-053 - Rev 04,IN,edqm_cep,api_cep,Valid,Chemical,stripped trailing 'monohydrate'; stripped trailing 'hydrobromide'
Dextromethorphan hydrobromide monohydrate,dextromethorphan,False,,,,DIVI'S LABORATORIES LIMITED Hyderabad IN,divi s laboratories hyderabad in,R1-CEP 1999-103 - Rev 06,IN,edqm_cep,api_cep,Valid,Chemical,stripped trailing 'monohydrate'; stripped trailing 'hydrobromide'
Dextromethorphan hydrobromide monohydrate,dextromethorphan,False,,,,SOLARA ACTIVE PHARMA SCIENCES LIMITED Chennai IN,solara active sciences chennai in,R1-CEP 2013-288 - Rev 00,IN,edqm_cep,api_cep,Valid,Chemical,stripped trailing 'monohydrate'; stripped trailing 'hydrobromide'
Dextromethorphan hydrobromide monohydrate,dextromethorphan,False,,,,"ZHEJIANG APELOA KANGYU PHARMACEUTICAL CO., LTD. Hengdian CN",zhejiang apeloa kangyu hengdian cn,CEP 2021-026 - Rev 01,CN,edqm_cep,api_cep,Valid,Chemical,stripped trailing 'monohydrate'; stripped trailing 'hydrobromide'
Dextromethorphan hydrobromide monohydrate,dextromethorphan,False,,,,MALLADI DRUGS AND PHARMACEUTICALS LIMITED Renigunta IN,malladi drugs and renigunta in,CEP 2018-133 - Rev 02,IN,edqm_cep,api_cep,Valid,Chemical,stripped trailing 'monohydrate'; stripped trailing 'hydrobromide'
Dextromethorphan hydrobromide monohydrate,dextromethorphan,False,,,,HY-GRO CHEMICALS PHARMTEK PRIVATE LIMITED Secunderabad IN,hy gro chemicals pharmtek secunderabad in,CEP 2014-023 - Rev 01,IN,edqm_cep,api_cep,Valid,Chemical,stripped trailing 'monohydrate'; stripped trailing 'hydrobromide'
Dextromethorphan hydrobromide monohydrate,dextromethorphan,False,,,,"WANBURY LIMITED Vashi, Navi Mumbai IN",wanbury vashi navi mumbai in,CEP 2022-268 - Rev 01,IN,edqm_cep,api_cep,Valid,Chemical,stripped trailing 'monohydrate'; stripped trailing 'hydrobromide'
Dextromethorphan hydrobromide monohydrate,dextromethorphan,False,,,,EXEMED PHARMACEUTICALS Vadodara IN,exemed vadodara in,CEP 2021-257 - Rev 01,IN,edqm_cep,api_cep,Valid,Chemical,stripped trailing 'monohydrate'; stripped trailing 'hydrobromide'
Dextromethorphan hydrobromide monohydrate,dextromethorphan,False,,,,SRINI PHARMACEUTICALS PRIVATE LIMITED Choutuppal IN,srini choutuppal in,CEP 2018-201 - Rev 01,IN,edqm_cep,api_cep,Valid,Chemical,stripped trailing 'monohydrate'; stripped trailing 'hydrobromide'
Dextromethorphan hydrobromide monohydrate,dextromethorphan,False,,,,"CHIFENG ARKER PHARMACEUTICAL TECHNOLOGY CO., LTD. Chifeng CN",chifeng arker technology chifeng cn,CEP 2019-218 - Rev 01,CN,edqm_cep,api_cep,Valid,Chemical,stripped trailing 'monohydrate'; stripped trailing 'hydrobromide'
Diazepam,diazepam,False,N05BA01,N,lookup,LAKE CHEMICALS PRIVATE LIMITED Shivaji Nagar IN,lake chemicals shivaji nagar in,R0-CEP 2020-376 - Rev 00,IN,edqm_cep,api_cep,Valid,Chemical,
Diazepam,diazepam,False,N05BA01,N,lookup,F.I.S. - FABBRICA ITALIANA SINTETICI S.P.A. Montecchio Maggiore IT,f i s fabbrica italiana sintetici montecchio maggiore it,R1-CEP 2003-272 - Rev 03,IT,edqm_cep,api_cep,Valid,Chemical,
Diazepam,diazepam,False,N05BA01,N,lookup,R L FINE CHEM PVT. LTD. Gowribidanur IN,r l fine chem gowribidanur in,R0-CEP 2019-264 - Rev 02,IN,edqm_cep,api_cep,Valid,Chemical,
Diazepam,diazepam,False,N05BA01,N,lookup,CENTAUR PHARMACEUTICALS PRIVATE LIMITED Mumbai IN,centaur mumbai in,CEP 2008-195 - Rev 05,IN,edqm_cep,api_cep,Valid,Chemical,
Diazepam,diazepam,False,N05BA01,N,lookup,RUSAN PHARMA LTD Mumbai IN,rusan mumbai in,CEP 2024-260 - Rev 00,IN,edqm_cep,api_cep,Valid,Chemical,
Diazepam,diazepam,False,N05BA01,N,lookup,"HUAZHONG PHARMACEUTICAL CO., LTD. Xiangyang CN",huazhong xiangyang cn,CEP 2024-536 - Rev 00,CN,edqm_cep,api_cep,Valid,Chemical,
Diphenhydramine hydrochloride,diphenhydramine,False,,,,RECORDATI INDUSTRIA CHIMICA E FARMACEUTICA S.P.A. Milano IT,recordati industria chimica e farmaceutica milano it,R1-CEP 2015-098 - Rev 00,IT,edqm_cep,api_cep,Valid,Chemical,stripped trailing 'hydrochloride'
Diphenhydramine hydrochloride,diphenhydramine,False,,,,"QIDONG DONGYUE PHARMACEUTICAL CO., LTD. Qidong CN",qidong dongyue qidong cn,CEP 2023-023 - Rev 00,CN,edqm_cep,api_cep,Valid,Chemical,stripped trailing 'hydrochloride'
Diphenhydramine hydrochloride,diphenhydramine,False,,,,SUPRIYA LIFESCIENCE LIMITED Mumbai IN,supriya lifescience mumbai in,CEP 2019-120 - Rev 01,IN,edqm_cep,api_cep,Valid,Chemical,stripped trailing 'hydrochloride'
Diphenhydramine hydrochloride,diphenhydramine,False,,,,WANBURY LIMITED Thane IN,wanbury thane in,CEP 2013-285 - Rev 01,IN,edqm_cep,api_cep,Valid,Chemical,stripped trailing 'hydrochloride'
Imipramine hydrochloride,imipramine,False,,,,TAPI NL B.V. Amsterdam NL,tapi nl b v amsterdam nl,CEP 2002-051 - Rev 05,NL,edqm_cep,api_cep,Valid,Chemical,stripped trailing 'hydrochloride'
Levodopa,levodopa,False,N04BA01,N,lookup,"DAIICHI SANKYO CHEMICAL PHARMA CO., LTD. Kanagawa JP",daiichi sankyo chemical kanagawa jp,R1-CEP 1999-091 - Rev 03,JP,edqm_cep,api_cep,Withdrawn by Holder,Chemical,
Levodopa,levodopa,False,N04BA01,N,lookup,EGIS Pharmaceuticals PLC Budapest HU,egis budapest hu,R1-CEP 1998-071 - Rev 01,HU,edqm_cep,api_cep,Withdrawn by Holder,Chemical,
Levodopa,levodopa,False,N04BA01,N,lookup,DIVI'S LABORATORIES LIMITED Hyderabad IN,divi s laboratories hyderabad in,R1-CEP 2005-161 - Rev 04,IN,edqm_cep,api_cep,Valid,Chemical,
Levodopa,levodopa,False,N04BA01,N,lookup,TORRENT PHARMACEUTICALS LIMITED Village Bhat IN,torrent village bhat in,R1-CEP 2011-253 - Rev 00,IN,edqm_cep,api_cep,Withdrawn by Holder,Chemical,
Levodopa,levodopa,False,N04BA01,N,lookup,"ZHEJIANG WILD WIND PHARMACEUTICAL CO., LTD. Geshan Town CN",zhejiang wild wind geshan town cn,R1-CEP 2012-377 - Rev 00,CN,edqm_cep,api_cep,Valid,Chemical,
Levodopa,levodopa,False,N04BA01,N,lookup,"GUANGXI BONGER PHARMACEUTICAL CO., LTD. Tiandong Town CN",guangxi bonger tiandong town cn,R1-CEP 2014-348 - Rev 00,CN,edqm_cep,api_cep,Valid,Chemical,
Levodopa,levodopa,False,N04BA01,N,lookup,MAITHRI DRUGS PRIVATE LIMITED Bonthapally Village IN,maithri drugs bonthapally village in,R0-CEP 2020-161 - Rev 00,IN,edqm_cep,api_cep,Valid,Chemical,
Levodopa,levodopa,False,N04BA01,N,lookup,"SHANDONG XINHUA PHARMACEUTICAL CO., LTD. Zibo CN",shandong xinhua zibo cn,R1-CEP 2009-174 - Rev 02,CN,edqm_cep,api_cep,Valid,Chemical,
Levodopa,levodopa,False,N04BA01,N,lookup,HETERO DRUGS LIMITED Hyderabad IN,hetero drugs hyderabad in,R0-CEP 2022-320 - Rev 00,IN,edqm_cep,api_cep,Valid,Chemical,
Levodopa,levodopa,False,N04BA01,N,lookup,TAPI NL B.V. Amsterdam NL,tapi nl b v amsterdam nl,CEP 1999-187 - Rev 10,NL,edqm_cep,api_cep,Valid,Chemical,
Levodopa,levodopa,False,N04BA01,N,lookup,"SHANDONG LUKANG PHARMACEUTICAL CO., LTD. Jining City CN",shandong lukang jining city cn,CEP 2022-202 - Rev 00,CN,edqm_cep,api_cep,Valid,Chemical and TSE,
Levodopa,levodopa,False,N04BA01,N,lookup,ZHEJIANG YONGTAI CHIRAL MEDICINE TECHNOLOGY CO. LTD. Taizhou CN,zhejiang yongtai chiral medicine technology taizhou cn,CEP 2024-527 - Rev 00,CN,edqm_cep,api_cep,Valid,Chemical,
Levodopa,levodopa,False,N04BA01,N,lookup,"AJINOMOTO CO., INC. Chuo-Ku JP",ajinomoto chuo ku jp,CEP 1999-001 - Rev 02,JP,edqm_cep,api_cep,Valid,Chemical,
"Levodopa, Enzymatic process",enzymatic process|levodopa,True,,,,TAPI NL B.V. Amsterdam NL,tapi nl b v amsterdam nl,CEP 2013-293 - Rev 02,NL,edqm_cep,api_cep,Valid,Chemical,combination of 2
"Levodopa, Enzymatic process",enzymatic process|levodopa,True,,,,"ZHEJIANG WILD WIND PHARMACEUTICAL CO., LTD. Geshan Town CN",zhejiang wild wind geshan town cn,CEP 2021-195 - Rev 01,CN,edqm_cep,api_cep,Valid,Chemical,combination of 2
"Levodopa, Micronised I, micronised II and non-micronised",levodopa|micronised i|micronised ii,True,,,,"ZHEJIANG HUAHAI PHARMACEUTICAL CO., LTD. Taizhou CN",zhejiang huahai taizhou cn,CEP 2017-090 - Rev 05,CN,edqm_cep,api_cep,Valid,Chemical,stripped trailing 'micronised'; dropped non-substance component 'non'; combination of 3
Magnesium Hydroxide,magnesium hydroxide,False,,,,DEAD SEA BROMINE COMPANY LTD. Beer Sheva IL,dead sea bromine company beer sheva il,R1-CEP 2001-344 - Rev 03,IL,edqm_cep,api_cep,Valid,Chemical,
Magnesium Hydroxide,magnesium hydroxide,False,,,,DR. PAUL LOHMANN GMBH & CO. KGAA Emmerthal DE,dr paul lohmann kgaa emmerthal de,R1-CEP 2013-020 - Rev 01,DE,edqm_cep,api_cep,Valid,Chemical,
Magnesium Hydroxide,magnesium hydroxide,False,,,,"ANHUI POLY PHARM. CO., LTD. Anqing CN",anhui poly pharm anqing cn,R0-CEP 2022-010 - Rev 00,CN,edqm_cep,api_cep,Valid,Chemical,
"Magnesium Hydroxide, 5200 ",5200|magnesium hydroxide,True,,,,"SPI PHARMA, INC. Wilmington US",spi wilmington us,R0-CEP 2022-054 - Rev 00,US,edqm_cep,api_cep,Valid,Chemical,combination of 2
"Magnesium Hydroxide, 5300",5300|magnesium hydroxide,True,,,,"SPI PHARMA, INC. Wilmington US",spi wilmington us,R1-CEP 2008-190 - Rev 00,US,edqm_cep,api_cep,Valid,Chemical,combination of 2
"Magnesium oxide, light",magnesium oxide,False,,,,SCORA Caffiers FR,scora caffiers fr,CEP 2024-141 - Rev 00,FR,edqm_cep,api_cep,Valid,Chemical,dropped non-substance component 'light'
"Magnesium oxide, heavy",magnesium oxide,False,,,,DEAD SEA BROMINE COMPANY LTD. Beer Sheva IL,dead sea bromine company beer sheva il,R1-CEP 2007-111 - Rev 02,IL,edqm_cep,api_cep,Valid,Chemical,dropped non-substance component 'heavy'
"Magnesium carbonate, light",magnesium carbonate,False,,,,DR. PAUL LOHMANN GMBH & CO. KGAA Emmerthal DE,dr paul lohmann kgaa emmerthal de,R1-CEP 2010-062 - Rev 03,DE,edqm_cep,api_cep,Valid,Chemical,"salt-strip skipped: 'carbonate' is the drug, 'magnesium' is the counter-ion; dropped non-substance component 'light'"
"Magnesium carbonate, light",magnesium carbonate,False,,,,SCORA Caffiers FR,scora caffiers fr,CEP 2024-058 - Rev 00,FR,edqm_cep,api_cep,Valid,Chemical,"salt-strip skipped: 'carbonate' is the drug, 'magnesium' is the counter-ion; dropped non-substance component 'light'"
"Magnesium carbonate, heavy",magnesium carbonate,False,,,,KIRSCH PHARMA GMBH Salzgitter DE,kirsch salzgitter de,R0-CEP 2018-188 - Rev 00,DE,edqm_cep,api_cep,Expired,Chemical,"salt-strip skipped: 'carbonate' is the drug, 'magnesium' is the counter-ion; dropped non-substance component 'heavy'"
"Magnesium carbonate, heavy",magnesium carbonate,False,,,,DR. PAUL LOHMANN GMBH & CO. KGAA Emmerthal DE,dr paul lohmann kgaa emmerthal de,R1-CEP 2008-071 - Rev 02,DE,edqm_cep,api_cep,Valid,Chemical,"salt-strip skipped: 'carbonate' is the drug, 'magnesium' is the counter-ion; dropped non-substance component 'heavy'"
Magnesium sulfate heptahydrate,magnesium sulfate,False,A12CC02|B05XA05,A|B,lookup,PQ CORPORATION Malvern US,pq corporation malvern us,R0-CEP 2018-109 - Rev 00,US,edqm_cep,api_cep,Expired,Chemical,stripped trailing 'heptahydrate'
Magnesium sulfate heptahydrate,magnesium sulfate,False,A12CC02|B05XA05,A|B,lookup,"MACCO ORGANIQUES, S.R.O. Bruntál CZ",macco organiques s r o brunt l cz,R1-CEP 2016-148 - Rev 00,CZ,edqm_cep,api_cep,Valid,Chemical,stripped trailing 'heptahydrate'
Methyldopa,methyldopa,False,C02AB01|C02AB02,C,lookup,"ZHEJIANG CHIRAL MEDICINE CHEMICALS CO., LTD. Hangzhou CN",zhejiang chiral medicine chemicals hangzhou cn,R1-CEP 2003-241 - Rev 03,CN,edqm_cep,api_cep,Valid,Chemical,
Methyldopa,methyldopa,False,C02AB01|C02AB02,C,lookup,"ZHEJIANG WILD WIND PHARMACEUTICAL CO., LTD. Geshan Town CN",zhejiang wild wind geshan town cn,R1-CEP 2009-120 - Rev 01,CN,edqm_cep,api_cep,Valid,Chemical,
Methyldopa,methyldopa,False,C02AB01|C02AB02,C,lookup,EGIS Pharmaceuticals PLC Budapest HU,egis budapest hu,R1-CEP 1996-033 - Rev 07,HU,edqm_cep,api_cep,Valid,Chemical,
Methyldopa,methyldopa,False,C02AB01|C02AB02,C,lookup,TAPI NL B.V. Amsterdam NL,tapi nl b v amsterdam nl,CEP 2010-326 - Rev 06,NL,edqm_cep,api_cep,Valid,Chemical,
Methyldopa,methyldopa,False,C02AB01|C02AB02,C,lookup,TAPI NL B.V. Amsterdam NL,tapi nl b v amsterdam nl,CEP 2010-182 - Rev 05,NL,edqm_cep,api_cep,Withdrawn by Holder,Chemical,
"Methyldopa, Process B",methyldopa|process b,True,,,,"ZHEJIANG CHIRAL MEDICINE CHEMICALS CO., LTD. Hangzhou CN",zhejiang chiral medicine chemicals hangzhou cn,R1-CEP 2018-065 - Rev 00,CN,edqm_cep,api_cep,Valid,Chemical,combination of 2
"Methyldopa, Site Yongtai Chiral, Process A",methyldopa|process a|site yongtai chiral,True,,,,ZHEJIANG YONGTAI CHIRAL MEDICINE TECHNOLOGY CO. LTD. Taizhou CN,zhejiang yongtai chiral medicine technology taizhou cn,CEP 2025-526 - Rev 00,CN,edqm_cep,api_cep,Valid,Chemical,combination of 3
Neostigmine bromide,neostigmine,False,N07AA01,N,lookup,PATHEON AUSTRIA GMBH & CO. KG Linz AT,patheon austria kg linz at,R1-CEP 2004-084 - Rev 02,AT,edqm_cep,api_cep,Valid,Chemical,stripped trailing 'bromide'
Nicotinamide,nicotinamide,False,,,,LONZA GUANGZHOU PHARMACEUTICAL LTD Guangzhou CN,lonza guangzhou guangzhou cn,CEP 2004-110 - Rev 08,CN,edqm_cep,api_cep,Valid,Chemical,
Paracetamol,paracetamol,False,N02BE01,N,lookup,Indukern Chemie AG Schlieren CH,indukern chemie schlieren ch,R0-CEP 2000-002 - Rev 00,CH,edqm_cep,api_cep,Withdrawn by EDQM Failure to CEP procedure,Chemical,
